Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH
85,7/1/2019,16,4,7,5,"Retrieved bait in arm A,C,F,D",,,,,,,,,,,,,,,,,,,,,,
86,7/1/2019,15,4,38,24,"Did not seem interested in bait at beginning.  Passed up multiple rewards.  Eventually retrieved bait from arm A,D,C,F",,,,,,,,,,,,,,,,,,,,,,
91,7/1/2019,18,4,3,1,"Retrieved bait from arm F,A,C,D",,,,,,,,,,,,,,,,,,,,,,
78,7/1/2019,21,4,14,13,"Retrieved bait in D,C,F,A",,,,,,,,,,,,,,,,,,,,,,
82,7/1/2019,21,4,15,4,"Retrieved bait from arm D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
83,7/1/2019,21,4,9,15,"Retrieved bait from arm D,H,B,F",,,,,,,,,,,,,,,,,,,,,,
81,7/1/2019,22,4,11,16,"Retrieved bait from arm F,H,D,B",,,,,,,,,,,,,,,,,,,,,,
84,7/1/2019,21,3,20,12,"Retrieved bait from arm D,F,B",,,,,,,,,,,,,,,,,,,,,,
79,7/1/2019,22,4,0,1,"Retrieved bait from D,F,A,C",,,,,,,,,,,,,,,,,,,,,,
87,7/1/2019,16,0,47,38,"Spent several minutes exploring, not interested in food. Picked up bait but did not eat it. Did not retreive any bait.",,,,,,,,,,,,,,,,,,,,,,
98,7/1/2019,21,4,1,2,"Retrieved bait from D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
90,7/1/2019,21,4,2,5,"Retrieved bait from arm D,F,A,C",,,,,,,,,,,,,,,,,,,,,,
80,7/1/2019,21,4,13,14,"Retrieved bait in C,F,A,D",,,,,,,,,,,,,,,,,,,,,,
90,7/2/2019,20,4,6,3,"Retrieved bait from A,C,F,D",,,,,,,,,,,,,,,,,,,,,,
81,7/2/2019,21,4,3,3,"Retrieved bait from arm D,F,B,H",,,,,,,,,,,,,,,,,,,,,,
79,7/2/2019,23,4,9,4,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
85,7/2/2019,14,4,12,9,"Retrieved bait from arm D,A,F,C",,,,,,,,,,,,,,,,,,,,,,
82,7/2/2019,21,4,16,5,"Retrieved bait from H,B,D,F",,,,,,,,,,,,,,,,,,,,,,
86,7/2/2019,14,4,3,0,"Retrieved bait from arm C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
80,7/2/2019,22,4,7,2,"Retrieved bait from D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
98,7/2/2019,20,4,6,3,"Retrieved bait from arm C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
87,7/2/2019,15,4,11,4,"Visited several baited arms without retreiving bait.  Eventually retrieved A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
78,7/2/2019,22,4,5,2,"Retrieved bait from A,D,C,F",,,,,,,,,,,,,,,,,,,,,,
83,7/2/2019,21,4,6,2,"Retrieved bait from arm B,F,D,H",,,,,,,,,,,,,,,,,,,,,,
84,7/2/2019,20,4,4,1,"Retrieved bait from arm D,B,F,H",,,,,,,,,,,,,,,,,,,,,,
78,7/3/2019,22,4,5,3,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
79,7/3/2019,22,4,4,7,,,,,,,,,,,,,,,,,,,,,,,
80,7/3/2019,21,4,4,0,"Retrieved bait from arm F,D,A,C",,,,,,,,,,,,,,,,,,,,,,
87,7/5/2019,17,4,6,2,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
90,7/5/2019,23,4,3,0,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
80,7/5/2019,23,4,6,2,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
79,7/5/2019,24,4,2,1,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
81,7/5/2019,24,4,0,2,"Retrieved bait from arm D,B,H,F",,,,,,,,,,,,,,,,,,,,,,
86,7/5/2019,17,4,16,7,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
84,7/5/2019,21,4,13,5,"Retrieved bait from arm D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
85,7/5/2019,18,4,6,3,"Retrieved bait from arm A, D, F, C",,,,,,,,,,,,,,,,,,,,,,
78,7/5/2019,23,4,12,0,"Retrieved bait from arm A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
82,7/5/2019,22,4,7,4,"Retrieved bait from arm H,F,D,B",,,,,,,,,,,,,,,,,,,,,,
83,7/5/2019,23,4,3,2,"Retrieved bait from arm B,H,F,D",,,,,,,,,,,,,,,,,,,,,,
98,7/5/2019,22,4,9,1,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
98,7/8/2019,20,4,2,0,"Retrieved bait from arm C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
83,7/8/2019,21,4,2,0,"Retrieved bait from arm B,F,D,H",,,,,,,,,,,,,,,,,,,,,,
85,7/8/2019,16,4,4,1,"Retrieved bait from arm C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
82,7/8/2019,20,4,4,1,"Retrieved bait from arm H,D,B,F",,,,,,,,,,,,,,,,,,,,,,
84,7/8/2019,20,4,1,0,"Retrieved bait from arm D,B,H,F",,,,,,,,,,,,,,,,,,,,,,
80,7/8/2019,20,4,2,4,"Retrieved bait from arm C,F,A,D",,,,,,,,,,,,,,,,,,,,,,
79,7/8/2019,21,4,3,0,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
86,7/8/2019,16,4,8,1,"Retrieved bait from arm A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
81,7/8/2019,21,4,0,1,"Retrieved bait from arm B,F,D,H",,,,,,,,,,,,,,,,,,,,,,
78,7/8/2019,20,4,13,5,"Retrieved bait from arm C,A,D",,,,,,,,,,,,,,,,,,,,,,
90,7/8/2019,20,4,8,4,"Retrieved bait from arm C,D,F,A",,,,,,,,,,,,,,,,,,,,,,
87,7/8/2019,15,4,13,7,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
81,7/10/2019,22,4,10,7,"Retrieved bait from arm D, B, H, F",,,,,,,,,,,,,,,,,,,,,,
84,7/10/2019,19,4,5,1,"Retrieved bait from arm H, B, F, D",,,,,,,,,,,,,,,,,,,,,,
82,7/10/2019,20,4,3,1,"Retrieved bait from arm D, B, F, H",,,,,,,,,,,,,,,,,,,,,,
78,7/10/2019,20,4,2,0,"Retrieved bait from arm D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
90,7/10/2019,20,4,4,0,"Retrieved bait from arm D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
87,7/10/2019,16,4,9,2,"Retrieved bait from arm F, C, A, D",,,,,,,,,,,,,,,,,,,,,,
80,7/10/2019,21,4,2,0,"Retrieved bait from arm F, C, D, A",,,,,,,,,,,,,,,,,,,,,,
83,7/10/2019,21,4,3,1,"Retrieved bait from arm F, D, B, H",,,,,,,,,,,,,,,,,,,,,,
85,7/10/2019,16,4,4,0,"Retrieved bait from arm D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
79,7/10/2019,19,4,13,3,"Retrieved bait from arm F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
86,7/10/2019,15,4,4,0,"Retrieved bait from arm F,C, A, D",,,,,,,,,,,,,,,,,,,,,,
98,7/10/2019,20,4,5,0,"Retrieved bait from arm A, D, F, C",,,,,,,,,,,,,,,,,,,,,,
98,7/11/2019,21,4,4,0,"Retrieved bait from arm D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
90,7/11/2019,20,4,2,0,"Retrieved bait from arm F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
86,7/11/2019,16,4,10,3,"Retrieved bait from arm F,C, D, A",,,,,,,,,,,,,,,,,,,,,,
84,7/11/2019,20,4,2,1,"Retrieved bait from arm D, B, F, H",,,,,,,,,,,,,,,,,,,,,,
78,7/11/2019,20,4,3,2,"Retrieved bait from arm C, D, A, F",,,,,,,,,,,,,,,,,,,,,,
80,7/11/2019,20,4,4,2,"Retrieved bait from arm F,C, A, D",,,,,,,,,,,,,,,,,,,,,,
87,7/11/2019,16,4,7,4,"Retrieved bait from arm D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
83,7/11/2019,21,4,5,2,"Retrieved bait from arm F, B, H, D",,,,,,,,,,,,,,,,,,,,,,
81,7/11/2019,22,4,4,1,"Retrieved bait from arm B, D, H, F",,,,,,,,,,,,,,,,,,,,,,
79,7/11/2019,20,4,0,0,"Retrieved bait from arm A, C, F, D",,,,,,,,,,,,,,,,,,,,,,
85,7/11/2019,17,4,1,1,"Retrieved bait from arm D, C, F, A",,,,,,,,,,,,,,,,,,,,,,
82,7/11/2019,21,4,5,3,"Retrieved bait from arm H, F, D, B",,,,,,,,,,,,,,,,,,,,,,
81,7/12/2019,21,4,5,2,"Retrieved bait from F,H,B,D",,,,,,,,,,,,,,,,,,,,,,
79,7/12/2019,20,4,11,2,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
86,7/12/2019,16,4,7,2,"Retrieved bait from D,C,F,A",,,,,,,,,,,,,,,,,,,,,,
80,7/12/2019,21,4,3,0,"Retrieved bait from F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
82,7/12/2019,20,4,4,0,"Retrieved bait from B,D, F,H",,,,,,,,,,,,,,,,,,,,,,
98,7/12/2019,20,4,2,3,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
78,7/12/2019,20,4,7,1,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
84,7/12/2019,19,4,1,0,"Retrieved bait from H,F,D,B",,,,,,,,,,,,,,,,,,,,,,
90,7/12/2019,20,4,4,0,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
85,7/12/2019,16,4,10,2,"Retrieved bait from D,A,F,C",,,,,,,,,,,,,,,,,,,,,,
83,7/12/2019,20,4,2,0,"Retrieved bait from B,D,F,H",,,,,,,,,,,,,,,,,,,,,,
87,7/12/2019,16,4,9,2,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
79,7/13/2019,19,4,4,3,"Retrieved bait from arm C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
78,7/13/2019,20,4,6,1,"Retrieved bait from arm F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
85,7/13/2019,16,4,1,1,"Retrieved bait from arm A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
82,7/13/2019,20,4,6,2,"Retrieved bait from arm H,F,D,B",,,,,,,,,,,,,,,,,,,,,,
86,7/13/2019,16,4,4,3,"Retrieved bait from arm F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
98,7/13/2019,19,4,1,0,"Retrieved bait from arm A,C,F,D",,,,,,,,,,,,,,,,,,,,,,
84,7/13/2019,19,4,3,1,"Retrieved bait from arm F,D,H,B",,,,,,,,,,,,,,,,,,,,,,
80,7/13/2019,21,4,3,0,"Retrieved bait from arm D,F,A,C",,,,,,,,,,,,,,,,,,,,,,
81,7/13/2019,21,4,14,0,"Retrieved bait from arm H,B,D,F",,,,,,,,,,,,,,,,,,,,,,
87,7/13/2019,16,4,4,3,"Retrieved bait from arm C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
90,7/13/2019,21,4,2,0,"Retrieved bait from arm A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
83,7/13/2019,21,4,2,0,"Retrieved bait from arm D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
80,7/14/2019,21,4,3,0,"Retrieved bait from arm A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
82,7/14/2019,20,4,6,0,"Retrieved bait from arm F,D,B,H",,,,,,,,,,,,,,,,,,,,,,
86,7/14/2019,17,4,5,0,"Retrieved bait from arm F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
83,7/14/2019,21,4,5,0,"Retrieved bait from arm F,H,B,D",,,,,,,,,,,,,,,,,,,,,,
84,7/14/2019,19,4,4,0,"Retrieved bait from arm H,F,B,D",,,,,,,,,,,,,,,,,,,,,,
98,7/14/2019,20,4,4,0,"Retrieved bait from arm C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
90,7/14/2019,21,4,3,0,"Retrieved bait from arm C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
79,7/14/2019,21,4,10,2,"Retrieved bait from arm A,C,F,D",,,,,,,,,,,,,,,,,,,,,,
87,7/14/2019,17,4,5,0,"Retrieved bait from arm F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
81,7/14/2019,21,4,4,0,"Retrieved bait from arm F,H,B,D",,,,,,,,,,,,,,,,,,,,,,
85,7/14/2019,17,4,2,0,"Retrieved bait from arm F,D,A,C",,,,,,,,,,,,,,,,,,,,,,
78,7/14/2019,20,4,9,5,"Retrieved bait from arm C,D,F,A",,,,,,,,,,,,,,,,,,,,,,
83,7/15/2019,22,4,3,0,"Retrieved bait from D,F,B,H",,,,,,,,,,,,,,,,,,,,,,
82,7/15/2019,21,4,3,0,"Retrieved bait from B,H,F,D",,,,,,,,,,,,,,,,,,,,,,
84,7/15/2019,21,4,4,0,"Retrieved bait from B,D,H,F",,,,,,,,,,,,,,,,,,,,,,
80,7/15/2019,22,4,1,0,"Retrieved bait from F,A,C,D",,,,,,,,,,,,,,,,,,,,,,
87,7/15/2019,17,4,3,0,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
78,7/15/2019,23,4,5,2,"Retrieved bait from D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
86,7/15/2019,17,4,5,1,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
90,7/15/2019,21,4,3,0,"Retrieved bait from A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
98,7/15/2019,21,4,10,2,"Retrieved bait from C,D,F,A",,,,,,,,,,,,,,,,,,,,,,
79,7/15/2019,22,4,11,9,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
85,7/15/2019,18,4,2,0,"Retrieved bait from C,D,A,F",,,,,,,,,,,,,,,,,,,,,,
81,7/15/2019,23,4,9,6,"Retrieved bait from H,D,B,F",,,,,,,,,,,,,,,,,,,,,,
80,7/16/2019,21,4,2,1,"Added red cube between D and E, flat against E.  Retrieved bait from arm D,C,F,A",,,,,,,,,,,,,,,,,,,,,,
78,7/16/2019,20,4,8,6,"Added red cube between D and E, flat against E.  Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
79,7/16/2019,20,4,3,0,"Added red cube between D and E, flat against E.  Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
84,7/17/2019,21,4,3,1,"Recieved Bait From Arms D, B, F, H",,,,,,,,,,,,,,,,,,,,,,
87,7/17/2019,17,0,1,1,"Recieved Bait From Arms A, F, C, D",,,,,,,,,,,,,,,,,,,,,,
81,7/17/2019,23,4,7,1,"Recieved Bait From Arms B, D, F, H",,,,,,,,,,,,,,,,,,,,,,
98,7/17/2019,22,4,7,2,"Recieved Bait From Arms C, F, D, A",,,,,,,,,,,,,,,,,,,,,,
90,7/17/2019,22,4,2,0,"Recieved Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
85,7/17/2019,18,0,3,0,"Recieved Bait From Arms F, D, A, C",,,,,,,,,,,,,,,,,,,,,,
86,7/17/2019,17,0,0,0,"Recieved Bait From Arms F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
83,7/17/2019,22,4,0,0,"Recieved Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
79,7/17/2019,20,4,6,2,"Recieved Bait From Arms F, D, A, C",,,,,,,,,,,,,,,,,,,,,,
78,7/17/2019,21,4,5,0,"Recieved Bait From Arms C, D, A, F ",,,,,,,,,,,,,,,,,,,,,,
80,7/17/2019,21,4,0,1,"Recieved Bait From Arms C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
82,7/17/2019,23,4,4,0,"Recieved Bait From Arms D, H, B, F",,,,,,,,,,,,,,,,,,,,,,
84,7/18/2019,20,4,6,1,"Received Bait From Arms F, D, B, H",,,,,,,,,,,,,,,,,,,,,,
90,7/18/2019,23,4,11,5,"Received Bait From Arms F, A, C, D",,,,,,,,,,,,,,,,,,,,,,
78,7/18/2019,21,4,2,2,"Received Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
86,7/18/2019,17,0,3,0,"Received Bait From Arms F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
98,7/18/2019,23,4,3,3,"Received Bait From Arms C, D, A, F",,,,,,,,,,,,,,,,,,,,,,
82,7/18/2019,20,4,2,0,"Received Bait From Arms D, F, B, H",,,,,,,,,,,,,,,,,,,,,,
87,7/18/2019,17,0,0,0,"Received Bait From Arms D, A, F, C",,,,,,,,,,,,,,,,,,,,,,
85,7/18/2019,18,0,0,0,"Received Bait From Arms C, A, F, D",,,,,,,,,,,,,,,,,,,,,,
79,7/18/2019,20,4,9,5,"Received Bait From Arms A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
81,7/18/2019,22,4,3,0,"Received Bait From Arms B, D,  F,  H",,,,,,,,,,,,,,,,,,,,,,
80,7/18/2019,21,4,1,0,"Received Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
83,7/18/2019,21,4,0,0,"Received Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
87,7/19/2019,17,4,10,6,"Recieved Bait From Arms C, D, A, F",,,,,,,,,,,,,,,,,,,,,,
83,7/19/2019,22,4,0,0,"Recieved Bait From Arms D, F, H, B. *Had a perfect run, video was not stopped fast enough so code shows 2 RME.*",,,,,,,,,,,,,,,,,,,,,,
90,7/19/2019,22,4,2,0,"Recieved Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
81,7/19/2019,22,4,4,0,"Recieved Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
84,7/19/2019,19,4,5,11,"Recieved Bait From Arms B, D, H, F",,,,,,,,,,,,,,,,,,,,,,
78,7/19/2019,21,4,6,2,"Recieved Bait From Arms C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
80,7/19/2019,21,4,4,3,"Recieved Bait From Arms F, D, A, C ",,,,,,,,,,,,,,,,,,,,,,
86,7/19/2019,17,4,6,1,"Recieved Bait From Arms F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
85,7/19/2019,17,4,0,1,"Recieved Bait From Arms D, A, F, C",,,,,,,,,,,,,,,,,,,,,,
82,7/19/2019,21,4,10,1,"Recieved Bait From Arms B,D,H,F",,,,,,,,,,,,,,,,,,,,,,
98,7/19/2019,21,4,16,2,"Recieved Bait From Arms A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
79,7/19/2019,21,4,5,2,"Recieved Bait From Arms C, A, D, F",,,,,,,,,,,,,,,,,,,,,,
98,7/20/2019,21,4,1,0,"Received Bait From Arms A, C, D, F ",,,,,,,,,,,,,,,,,,,,,,
85,7/20/2019,17,4,3,1,"Received Bait From Arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
80,7/20/2019,21,4,2,1,"Received Bait From Arms C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
82,7/20/2019,21,4,5,2,"Received Bait From Arms D, B, F, H",,,,,,,,,,,,,,,,,,,,,,
81,7/20/2019,22,4,5,4,"Received Bait From Arms H, D, F, B ",,,,,,,,,,,,,,,,,,,,,,
90,7/20/2019,21,4,6,2,"Received Bait From Arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
87,7/20/2019,17,4,6,2,"Received Bait From Arms A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
86,7/20/2019,17,4,4,2,"Received Bait From Arms D, C, F, A",,,,,,,,,,,,,,,,,,,,,,
79,7/20/2019,20,4,6,1,"Received Bait From Arms F, A, C, D",,,,,,,,,,,,,,,,,,,,,,
83,7/20/2019,21,4,4,2,"Received Bait From Arms B, D, F, H. Mouse ran into several different arms initially but then corrected itself and went to BDFH in perfect order.",,,,,,,,,,,,,,,,,,,,,,
78,7/20/2019,20,4,8,4,"Received Bait From Arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
84,7/20/2019,20,4,0,0,"Received Bait From Arms B, D, F, H",,,,,,,,,,,,,,,,,,,,,,
98,7/22/2019,21,4,7,4,"Retrieved bait from arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
87,7/22/2019,17,4,8,2,"Received Bait From Arms F, D, A, C",,,,,,,,,,,,,,,,,,,,,,
81,7/22/2019,23,4,4,0,"Received Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
78,7/22/2019,21,4,15,7,"Received Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
79,7/22/2019,22,4,5,1,"Received Bait From Arms D, A, C, F",,,,,,,,,,,,,,,,,,,,,,
82,7/22/2019,21,4,2,1,"Received Bait From Arms H, F, D, B",,,,,,,,,,,,,,,,,,,,,,
90,7/22/2019,21,4,4,0,"Retrieved bait from arms D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
80,7/22/2019,22,4,6,3,"Retrieved bait from arms F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
84,7/22/2019,21,4,0,0,"Received Bait From Arms B, H, F, D",,,,,,,,,,,,,,,,,,,,,,
85,7/22/2019,17,4,5,5,"Received Bait From Arms D, A, F, C. FAILED RUN, EXCLUDE TODAYS DATA.",,,,,,,,,,,,,,,,,,,,,,
86,7/22/2019,17,4,8,2,"Received Bait From Arms F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
83,7/22/2019,23,4,0,0,"Received Bait From Arms B, D, F, H",,,,,,,,,,,,,,,,,,,,,,
98,7/23/2019,22,4,4,2,"Retrieved bait from C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
82,7/23/2019,21,4,2,1,"Retrieved bait from H,F,D,B",,,,,,,,,,,,,,,,,,,,,,
79,7/23/2019,23,4,4,1,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
