Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH
78,7/23/2019,22,4,4,3,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
87,7/23/2019,18,4,2,0,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
90,7/23/2019,22,4,3,1,"Retrieved bait from A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
86,7/23/2019,18,4,0,0,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
83,7/23/2019,23,4,1,0,"Retrieved bait from D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
81,7/23/2019,22,4,7,4,"Retrieved bait from B,D,H,F",,,,,,,,,,,,,,,,,,,,,,
85,7/23/2019,18,4,1,0,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
84,7/23/2019,21,4,3,1,"Retrieved bait from B,D,F,H",,,,,,,,,,,,,,,,,,,,,,
80,7/23/2019,22,4,2,3,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
80,7/24/2019,21,4,1,2,"Retrieved bait from arm A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
87,7/24/2019,17,4,13,6,"Retrieved bait from arm D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
83,7/24/2019,21,4,6,3,"Retrieved bait from arm H, B, D, F",,,,,,,,,,,,,,,,,,,,,,
85,7/24/2019,17,4,1,1,"Retrieved bait from arm A, F, D, C",,,,,,,,,,,,,,,,,,,,,,
78,7/24/2019,21,4,14,7,"Retrieved bait from arm D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
86,7/24/2019,17,4,5,0,"Retrieved bait from arm F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
81,7/24/2019,21,4,3,1,"Retrieved bait from arm D,H,B,F",,,,,,,,,,,,,,,,,,,,,,
84,7/24/2019,21,4,7,1,"Retrieved bait from arm D, H, F, B",,,,,,,,,,,,,,,,,,,,,,
79,7/24/2019,21,4,5,1,"Retrieved bait from arm C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
90,7/24/2019,25,4,8,3,"Retrieved bait from arm A, C, F, D ",,,,,,,,,,,,,,,,,,,,,,
98,7/24/2019,24,4,5,4,"Retrieved bait from arm C, A, F, D",,,,,,,,,,,,,,,,,,,,,,
82,7/24/2019,21,4,5,0,"Retrieved bait from arm D,B,H,F",,,,,,,,,,,,,,,,,,,,,,
79,7/25/2019,21,4,8,1,"Received Bait From Arms C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
78,7/25/2019,21,4,5,1,"Received Bait From Arms D, A, C, F",,,,,,,,,,,,,,,,,,,,,,
87,7/25/2019,18,4,5,5,"Received Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
98,7/25/2019,23,4,6,6,"Received Bait From Arms C, D, A, F",,,,,,,,,,,,,,,,,,,,,,
84,7/25/2019,21,4,5,1,"Received Bait From Arms F, D, H, B",,,,,,,,,,,,,,,,,,,,,,
82,7/25/2019,21,4,5,0,"Received Bait From Arms F, D, B, H",,,,,,,,,,,,,,,,,,,,,,
90,7/25/2019,23,4,4,0,"Received Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
83,7/25/2019,23,4,4,4,"Received Bait From Arms F, H, B, D",,,,,,,,,,,,,,,,,,,,,,
85,7/25/2019,18,4,3,3,"Received Bait From Arms D, A, C, F",,,,,,,,,,,,,,,,,,,,,,
80,7/25/2019,21,4,2,0,"Received Bait From Arms C, D, F, A",,,,,,,,,,,,,,,,,,,,,,
86,7/25/2019,17,4,6,2,"Received Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
81,7/25/2019,23,4,5,1,"Received Bait From Arms D, H, B, F",,,,,,,,,,,,,,,,,,,,,,
81,7/26/2019,22,4,5,2,"Retrieved bait from B,D,F,H",,,,,,,,,,,,,,,,,,,,,,
80,7/26/2019,21,4,4,3,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
78,7/26/2019,21,4,0,1,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
86,7/26/2019,17,4,2,0,"Retrieved bait from C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
85,7/26/2019,18,4,0,0,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
98,7/26/2019,22,4,1,1,"Retrieved bait from D,F,C,A",,,,,,,,,,,,,,,,,,,,,,
90,7/26/2019,22,4,4,1,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
87,7/26/2019,18,4,5,4,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
84,7/26/2019,20,4,6,3,"Retrieved bait from H,B,F,D",,,,,,,,,,,,,,,,,,,,,,
82,7/26/2019,21,4,2,0,"Retrieved bait from B,D,H,F",,,,,,,,,,,,,,,,,,,,,,
83,7/26/2019,22,4,1,1,"Retrieved bait from D,F,B,H",,,,,,,,,,,,,,,,,,,,,,
79,7/26/2019,22,4,3,1,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
98,7/27/2019,21,4,2,0,"Retrieved bait from C,D,A,F",,,,,,,,,,,,,,,,,,,,,,
90,7/27/2019,21,4,3,1,"Retrieved bait from C,D,A,F",,,,,,,,,,,,,,,,,,,,,,
85,7/30/2019,17,4,3,1,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
87,7/30/2019,17,4,3,2,"Retrieved bait from D,F,C,A",,,,,,,,,,,,,,,,,,,,,,
98,7/30/2019,21,4,3,2,"Retrieved bait from C,D,A,F",,,,,,,,,,,,,,,,,,,,,,
82,7/30/2019,20,4,5,0,"Retrieved bait from D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
83,7/30/2019,22,4,1,1,"Retrieved bait from B,H,D,F",,,,,,,,,,,,,,,,,,,,,,
86,7/30/2019,17,4,4,1,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
80,7/30/2019,21,4,2,1,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
78,7/30/2019,21,4,2,2,"Retrieved bait from D,F,C,A",,,,,,,,,,,,,,,,,,,,,,
84,7/30/2019,19,4,6,0,"Retrieved bait from F,D,B,H",,,,,,,,,,,,,,,,,,,,,,
79,7/30/2019,21,4,4,0,"Retrieved bait from A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
81,7/30/2019,22,4,4,3,"Retrieved bait from F,H,D,B",,,,,,,,,,,,,,,,,,,,,,
81,8/1/2019,21,4,3,0,"Received Bait From Arms B, D, F, H",,,,,,,,,,,,,,,,,,,,,,
83,8/1/2019,21,4,1,0,"Received Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
82,8/1/2019,20,4,1,0,"Received Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
78,8/1/2019,20,4,5,1,"Received Bait From Arms C, A, D, F",,,,,,,,,,,,,,,,,,,,,,
87,8/1/2019,16,4,3,1,"Received Bait From Arms C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
84,8/1/2019,19,4,2,0,"Received Bait From Arms D, B, H, F",,,,,,,,,,,,,,,,,,,,,,
86,8/1/2019,16,4,4,0,"Received Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
80,8/1/2019,20,4,4,1,"Received Bait From Arms D, C, F, A",,,,,,,,,,,,,,,,,,,,,,
90,8/1/2019,20,4,1,1,"Received Bait From Arms C, D, F, A",,,,,,,,,,,,,,,,,,,,,,
85,8/1/2019,16,4,1,0,"Received Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
147,8/4/2019,24,1,21,25,First run. Received bait from arm C   ,,,,,,,,,,,,,,,,,,,,,,
150,8/4/2019,20,1,21,18,First run. Received bait from arm A,,,,,,,,,,,,,,,,,,,,,,
154,8/4/2019,18,4,13,9,"First run. Received bait from arms G, A, F, B ",,,,,,,,,,,,,,,,,,,,,,
151,8/4/2019,23,2,28,22,"First run. Received bait from arms B, A",,,,,,,,,,,,,,,,,,,,,,
153,8/4/2019,18,4,28,17,"First run. Received bait from arms G, A, F, B ",,,,,,,,,,,,,,,,,,,,,,
152,8/4/2019,24,0,30,19,First run. Received no bait from arms  ,,,,,,,,,,,,,,,,,,,,,,
157,8/4/2019,13,4,9,3,"First run. Received bait from arms E, G, B, C",,,,,,,,,,,,,,,,,,,,,,
148,8/4/2019,23,3,32,18,"First run. Received bait from arms B, E, C  ",,,,,,,,,,,,,,,,,,,,,,
149,8/4/2019,18,0,21,21,"First run, only explored the maze. ",,,,,,,,,,,,,,,,,,,,,,
155,8/4/2019,15,4,17,8,"First run. Received bait from arms G, E, B, C",,,,,,,,,,,,,,,,,,,,,,
153,8/5/2019,17,4,14,4,"Second Run. Received Bait From Arm(s) A, G, F, B",,,,,,,,,,,,,,,,,,,,,,
154,8/5/2019,17,4,11,9,"Second Run. Received Bait From Arm(s) G, A, B, F",,,,,,,,,,,,,,,,,,,,,,
147,8/5/2019,25,0,17,17,Second Run. Received Bait From Arm(s) ,,,,,,,,,,,,,,,,,,,,,,
157,8/5/2019,14,4,5,0,"Second Run. Received Bait From Arm(s) E, B, C, G ",,,,,,,,,,,,,,,,,,,,,,
148,8/5/2019,23,3,18,24,"Second Run. Received Bait From Arm(s) E, G, C ",,,,,,,,,,,,,,,,,,,,,,
149,8/5/2019,25,0,24,22,Second Run. Received Bait From Arm(s)  ,,,,,,,,,,,,,,,,,,,,,,
150,8/5/2019,19,4,14,12,"Second Run. Received Bait From Arm(s) A, G, F, B",,,,,,,,,,,,,,,,,,,,,,
152,8/5/2019,25,1,26,19,Second Run. Received Bait From Arm(s) F,,,,,,,,,,,,,,,,,,,,,,
151,8/5/2019,23,4,26,28,"Second Run. Received Bait From Arm(s) B, A, G, F",,,,,,,,,,,,,,,,,,,,,,
149,8/6/2019,24,0,19,14,Third Run. Received Bait From Arm(s) ,,,,,,,,,,,,,,,,,,,,,,
157,8/6/2019,14,4,7,3,"Third Run. Received Bait From Arm(s) E, B, G, C",,,,,,,,,,,,,,,,,,,,,,
154,8/6/2019,16,4,5,2,"Third Run. Received Bait From Arm(s) G, B, A, F ",,,,,,,,,,,,,,,,,,,,,,
148,8/6/2019,22,4,5,4,"Third Run. Received Bait From Arm(s) C, B, E, G ",,,,,,,,,,,,,,,,,,,,,,
150,8/6/2019,19,4,3,1,"Third Run. Received Bait From Arm(s) A, F, B, G ",,,,,,,,,,,,,,,,,,,,,,
147,8/6/2019,24,1,15,15,Third Run. Received Bait From Arm(s) E,,,,,,,,,,,,,,,,,,,,,,
151,8/6/2019,22,4,6,4,"Third Run. Received Bait From Arm(s) A, F, B, G",,,,,,,,,,,,,,,,,,,,,,
153,8/6/2019,16,4,2,1,"Third Run. Received Bait From Arm(s) A, B, G, F ",,,,,,,,,,,,,,,,,,,,,,
152,8/6/2019,24,0,25,15,Third Run. Received Bait From Arm(s)  ,,,,,,,,,,,,,,,,,,,,,,
152,8/7/2019,24,0,20,21,Fourth Run. Received Bait From Arm(s) ,,,,,,,,,,,,,,,,,,,,,,
147,8/7/2019,24,0,28,19,Fourth Run. Received Bait From Arm(s) ,,,,,,,,,,,,,,,,,,,,,,
148,8/7/2019,22,4,2,3,"Fourth Run. Received Bait From Arm(s) B, C, E, G",,,,,,,,,,,,,,,,,,,,,,
150,8/7/2019,19,4,8,3,"Fourth Run. Received Bait From Arm(s) B, F, G,  A  ",,,,,,,,,,,,,,,,,,,,,,
153,8/7/2019,18,4,13,3,"Fourth Run. Received Bait From Arm(s) B, F, G,  A",,,,,,,,,,,,,,,,,,,,,,
157,8/7/2019,15,4,13,6,"Fourth Run. Received Bait From Arm(s) E, G, C, B ",,,,,,,,,,,,,,,,,,,,,,
149,8/7/2019,23,0,40,20,Fourth Run. Received Bait From Arm(s)  ,,,,,,,,,,,,,,,,,,,,,,
151,8/7/2019,23,4,7,2,"Fourth Run. Received Bait From Arm(s) G, A, B, F",,,,,,,,,,,,,,,,,,,,,,
154,8/7/2019,18,4,2,0,"Fourth Run. Received Bait From Arm(s) A, B, G, F ",,,,,,,,,,,,,,,,,,,,,,
148,8/8/2019,22,4,1,0,"Fifth Run. Received Bait From Arm(s) C, B, E, G ",,,,,,,,,,,,,,,,,,,,,,
152,8/8/2019,23,4,6,3,"Fifth Run. Received Bait From Arm(s) A, B, F, G",,,,,,,,,,,,,,,,,,,,,,
154,8/8/2019,17,4,8,2,"Fifth Run. Received Bait From Arm(s) A, G, B, F",,,,,,,,,,,,,,,,,,,,,,
151,8/8/2019,22,4,2,1,"Fifth Run. Received Bait From Arm(s) A, B, G, F",,,,,,,,,,,,,,,,,,,,,,
157,8/8/2019,13,4,1,0,"Fifth Run. Received Bait From Arm(s) B, G, E, C",,,,,,,,,,,,,,,,,,,,,,
153,8/8/2019,17,4,7,2,"Fifth Run. Received Bait From Arm(s) B, F, G, A",,,,,,,,,,,,,,,,,,,,,,
147,8/8/2019,24,4,21,19,"Fifth Run. Received Bait From Arm(s) G, C, B, E",,,,,,,,,,,,,,,,,,,,,,
147,8/8/2019,24,1,34,12,Fifth Run. Received Bait From Arm(s) E,,,,,,,,,,,,,,,,,,,,,,
150,8/8/2019,18,4,6,3,"Fifth Run. Received Bait From Arm(s) B, G, A, F",,,,,,,,,,,,,,,,,,,,,,
149,8/8/2019,22,3,24,14,"Fifth Run. Received Bait From Arm(s) A, G, F  ",,,,,,,,,,,,,,,,,,,,,,
157,8/9/2019,14,4,4,4,"Received Bait From Arm(s) E, B, G, C",,,,,,,,,,,,,,,,,,,,,,
147,8/9/2019,23,1,16,19,Received Bait From Arm(s) E ,,,,,,,,,,,,,,,,,,,,,,
154,8/9/2019,17,4,4,1,"Received Bait From Arm(s) G, A, F, B",,,,,,,,,,,,,,,,,,,,,,
150,8/9/2019,18,4,1,1,"Received Bait From Arm(s) F, G, A, B",,,,,,,,,,,,,,,,,,,,,,
148,8/9/2019,22,4,2,2,"Received Bait From Arm(s) C, B, E, G ",,,,,,,,,,,,,,,,,,,,,,
151,8/9/2019,21,4,1,1,"Received Bait From Arm(s) B, G, F, A",,,,,,,,,,,,,,,,,,,,,,
152,8/9/2019,21,4,6,0,"Received Bait From Arm(s) A, B, G, F",,,,,,,,,,,,,,,,,,,,,,
153,8/9/2019,18,4,3,2,"Received Bait From Arm(s) A, G, F, B",,,,,,,,,,,,,,,,,,,,,,
149,8/9/2019,21,4,5,3,"Received Bait From Arm(s) G, F, A, B",,,,,,,,,,,,,,,,,,,,,,
82,8/26/2019,24,4,9,3,First run in a couple weeks,,,,,,,,,,,,,,,,,,,,,,
82,8/28/2019,26,4,10,8,,,,,,,,,,,,,,,,,,,,,,,
83,8/28/2019,27,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
83,9/3/2019,26,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
80,9/3/2019,25,4,3,1,,,,,,,,,,,,,,,,,,,,,,,
78,9/3/2019,23,4,13,5,,,,,,,,,,,,,,,,,,,,,,,
82,9/3/2019,25,4,3,0,,,,,,,,,,,,,,,,,,,,,,,
78,9/5/2019,20,4,11,3,,,,,,,,,,,,,,,,,,,,,,,
80,9/5/2019,22,4,2,0,,,,,,,,,,,,,,,,,,,,,,,
80,9/6/2019,21,4,3,0,,,,,,,,,,,,,,,,,,,,,,,
78,9/6/2019,19,4,6,0,,,,,,,,,,,,,,,,,,,,,,,
82,9/10/2019,25,4,4,0,,,,,,,,,,,,,,,,,,,,,,,
80,9/10/2019,26,4,1,0,,,,,,,,,,,,,,,,,,,,,,,
78,9/10/2019,24,4,2,2,,,,,,,,,,,,,,,,,,,,,,,
200,9/30/2019,28,1,20,24,Retrieved from arm A,,,,,,,,,,,,,,,,,,,,,,
170,9/30/2019,24,1,29,43,Retrieved bait from Arm A,,,,,,,,,,,,,,,,,,,,,,
171,9/30/2019,24,0,15,18,,,,,,,,,,,,,,,,,,,,,,,
202,9/30/2019,29,0,21,31,,,,,,,,,,,,,,,,,,,,,,,
203,9/30/2019,29,0,29,44,,,,,,,,,,,,,,,,,,,,,,,
172,10/2/2019,18,0,27,52,Retreived no bait from arms ,,,,,,,,,,,,,,,,,,,,,,
174,10/2/2019,21,3,30,51,"Received bait from arms B, C, E ",,,,,,,,,,,,,,,,,,,,,,
193,10/2/2019,26,4,18,12,"Received bait from arms B, G, E, C",,,,,,,,,,,,,,,,,,,,,,
171,10/2/2019,24,1,12,17,,,,,,,,,,,,,,,,,,,,,,,
190,10/2/2019,24,1,25,21,Received bait from arms C,,,,,,,,,,,,,,,,,,,,,,
175,10/2/2019,20,0,28,46,Received bait from no arms ,,,,,,,,,,,,,,,,,,,,,,
170,10/2/2019,28,2,27,43,,,,,,,,,,,,,,,,,,,,,,,
196,10/2/2019,24,2,27,32,"Received bait from arms C, E, ",,,,,,,,,,,,,,,,,,,,,,
173,10/2/2019,18,1,15,22,Received bait from arm G,,,,,,,,,,,,,,,,,,,,,,
194,10/2/2019,24,2,21,14,"Received bait from arms B, E, ",,,,,,,,,,,,,,,,,,,,,,
200,10/3/2019,23,4,7,5,,,,,,,,,,,,,,,,,,,,,,,
202,10/3/2019,25,4,19,19,,,,,,,,,,,,,,,,,,,,,,,
196,10/4/2019,22,4,13,13,"Received bait from arms B, E, C, G",,,,,,,,,,,,,,,,,,,,,,
175,10/4/2019,17,4,10,13,"Received bait from arms E, G, C, B",,,,,,,,,,,,,,,,,,,,,,
194,10/4/2019,22,4,6,3,"Received bait from arms G, C, E, B",,,,,,,,,,,,,,,,,,,,,,
190,10/4/2019,21,3,20,13,"Received bait from arms E, C, B",,,,,,,,,,,,,,,,,,,,,,
174,10/4/2019,18,4,7,5,"Received bait from arms E, C, G, B",,,,,,,,,,,,,,,,,,,,,,
173,10/4/2019,16,4,9,10,"Received bait from arms B, E, C, G",,,,,,,,,,,,,,,,,,,,,,
193,10/4/2019,24,4,5,3,"Received bait from arms C, E, G, B",,,,,,,,,,,,,,,,,,,,,,
172,10/4/2019,16,4,9,14,"Received bait from arms G, E, C, B",,,,,,,,,,,,,,,,,,,,,,
170,11/12/2019,20,4,7,5,,,,,,,,,,,,,,,,,,,,,,,
202,11/12/2019,25,4,9,9,,,,,,,,,,,,,,,,,,,,,,,
203,11/12/2019,25,4,7,4,,,,,,,,,,,,,,,,,,,,,,,
171,11/12/2019,21,3,32,58,,,,,,,,,,,,,,,,,,,,,,,
200,11/12/2019,24,4,2,5,,,,,,,,,,,,,,,,,,,,,,,
174,11/14/2019,21,4,8,7,,,,,,,,,,,,,,,,,,,,,,,
193,11/14/2019,25,4,10,2,,,,,,,,,,,,,,,,,,,,,,,
190,11/14/2019,23,4,13,8,,,,,,,,,,,,,,,,,,,,,,,
175,11/14/2019,21,4,6,4,,,,,,,,,,,,,,,,,,,,,,,
196,11/14/2019,23,4,8,3,,,,,,,,,,,,,,,,,,,,,,,
207,11/14/2019,31,0,23,14,,,,,,,,,,,,,,,,,,,,,,,
194,11/14/2019,24,4,10,6,,,,,,,,,,,,,,,,,,,,,,,
173,11/14/2019,18,4,2,0,,,,,,,,,,,,,,,,,,,,,,,
71,11/15/2019,29,0,28,44,,,,,,,,,,,,,,,,,,,,,,,
211,11/15/2019,26,0,21,40,,,,,,,,,,,,,,,,,,,,,,,
210,11/15/2019,25,3,19,26,,,,,,,,,,,,,,,,,,,,,,,
99,11/15/2019,26,2,24,43,,,,,,,,,,,,,,,,,,,,,,,
131,11/15/2019,22,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
116,11/21/2019,25,4,14,13,,,,,,,,,,,,,,,,,,,,,,,
171,11/21/2019,20,4,8,5,,,,,,,,,,,,,,,,,,,,,,,
170,11/21/2019,21,4,5,4,,,,,,,,,,,,,,,,,,,,,,,
175,11/25/2019,18,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
173,11/25/2019,17,4,8,6,,,,,,,,,,,,,,,,,,,,,,,
190,11/25/2019,23,4,13,15,,,,,,,,,,,,,,,,,,,,,,,
231,11/25/2019,15,4,15,20,,,,,,,,,,,,,,,,,,,,,,,
172,11/25/2019,16,4,11,13,,,,,,,,,,,,,,,,,,,,,,,
174,11/25/2019,19,4,11,11,,,,,,,,,,,,,,,,,,,,,,,
225,11/26/2019,26,3,14,19,,,,,,,,,,,,,,,,,,,,,,,
224,11/26/2019,21,4,13,20,,,,,,,,,,,,,,,,,,,,,,,
171,11/26/2019,22,2,18,36,Not hungry - just explored for 10 minutes.,,,,,,,,,,,,,,,,,,,,,,
194,11/26/2019,22,4,8,11,,,,,,,,,,,,,,,,,,,,,,,
233,11/26/2019,23,3,19,28,,,,,,,,,,,,,,,,,,,,,,,
193,11/26/2019,23,4,2,0,,,,,,,,,,,,,,,,,,,,,,,
170,11/26/2019,24,2,30,40,Not hungry - just explored for 10 minutes.,,,,,,,,,,,,,,,,,,,,,,
207,11/26/2019,26,0,17,29,,,,,,,,,,,,,,,,,,,,,,,
196,11/26/2019,21,4,10,10,,,,,,,,,,,,,,,,,,,,,,,
177,11/27/2019,30,2,20,38,,,,,,,,,,,,,,,,,,,,,,,
210,11/27/2019,24,4,14,13,,,,,,,,,,,,,,,,,,,,,,,
71,11/27/2019,27,4,20,26,,,,,,,,,,,,,,,,,,,,,,,
200,11/27/2019,24,4,7,4,,,,,,,,,,,,,,,,,,,,,,,
234,11/27/2019,26,4,7,6,,,,,,,,,,,,,,,,,,,,,,,
99,11/27/2019,25,4,20,27,,,,,,,,,,,,,,,,,,,,,,,
178,11/27/2019,29,3,32,54,,,,,,,,,,,,,,,,,,,,,,,
131,11/27/2019,20,2,10,10,,,,,,,,,,,,,,,,,,,,,,,
222,11/27/2019,29,4,12,14,,,,,,,,,,,,,,,,,,,,,,,
203,11/27/2019,23,4,5,3,,,,,,,,,,,,,,,,,,,,,,,
211,11/27/2019,25,4,19,28,,,,,,,,,,,,,,,,,,,,,,,
202,11/27/2019,23,4,7,6,,,,,,,,,,,,,,,,,,,,,,,
221,11/27/2019,28,0,32,55,,,,,,,,,,,,,,,,,,,,,,,
172,11/28/2019,20,4,7,6,,,,,,,,,,,,,,,,,,,,,,,
181,11/28/2019,21,0,19,29,,,,,,,,,,,,,,,,,,,,,,,
174,11/28/2019,21,4,13,15,,,,,,,,,,,,,,,,,,,,,,,
173,11/28/2019,18,4,2,2,,,,,,,,,,,,,,,,,,,,,,,
231,11/28/2019,18,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
175,11/28/2019,21,4,16,15,,,,,,,,,,,,,,,,,,,,,,,
256,12/6/2019,17,0,16,21,,,,,,,,,,,,,,,,,,,,,,,
253,12/6/2019,24,1,26,38,,,,,,,,,,,,,,,,,,,,,,,
207,12/6/2019,23,3,21,22,,,,,,,,,,,,,,,,,,,,,,,
182,12/6/2019,21,1,27,38,Jumped out of maze and had to pause for a moment. Disregard data.,,,,,,,,,,,,,,,,,,,,,,
181,12/6/2019,21,4,1,7,,,,,,,,,,,,,,,,,,,,,,,
190,12/6/2019,20,4,5,7,,,,,,,,,,,,,,,,,,,,,,,
